y,m,d,h,G(i) [W/m2],H_sun,T_amb
2020,8,23,1010,296.43,49.01,20.76
2020,8,23,1110,430.73,48.84,21.72
2020,8,23,1210,554.05,45.26,23.35
2020,8,23,1310,344.15,39.06,23.92
2020,8,23,1410,149.2,31.19,24.19
2020,8,23,1510,49.68,22.39,24
2020,8,23,1610,30.55,13.23,23.4
2020,8,23,1710,1.82,4.12,22.78
2020,8,23,1810,0,0,21.67
2020,8,23,1910,0,0,19.93
2020,8,23,2010,0,0,19.28
2020,8,23,2110,0,0,18.71
2020,8,23,2210,0,0,18.13
2020,8,23,2310,0,0,17.58
2020,8,24,10,0,0,17.26
2020,8,24,110,0,0,16.85
2020,8,24,210,0,0,16.8
2020,8,24,310,0,0,16.41
2020,8,24,410,1.82,4.73,16.09
2020,8,24,510,15.5,13.87,16.8
2020,8,24,610,101.08,23.01,18.21
2020,8,24,710,382,31.73,19.48
2020,8,24,810,558.43,39.47,20.94
2020,8,24,910,664.65,45.43,22.28
2020,8,24,1010,638.11,48.68,23.05
2020,8,24,1110,614.7,48.49,23.63
2020,8,24,1210,435.45,44.92,24.21
2020,8,24,1310,409.17,38.74,24.23
2020,8,24,1410,208.73,30.87,23.63
2020,8,24,1510,148.17,22.08,23.29
2020,8,24,1610,41.04,12.92,22.69
2020,8,24,1710,9.58,3.81,21.74
2020,8,24,1810,0,0,20.11
2020,8,24,1910,0,0,18.99
2020,8,24,2010,0,0,17.81
2020,8,24,2110,0,0,16.82
2020,8,24,2210,0,0,16.02
2020,8,24,2310,0,0,15.81
2020,8,25,10,0,0,15.68
2020,8,25,110,0,0,15.38
2020,8,25,210,0,0,15.07
2020,8,25,310,0,0,15.1
2020,8,25,410,2.74,4.5,15.25
2020,8,25,510,14.14,13.64,16.04
2020,8,25,610,20.35,22.78,16.96
2020,8,25,710,99.1,31.49,18.24
2020,8,25,810,261.52,39.2,19.28
2020,8,25,910,651.12,45.13,20.44
2020,8,25,1010,392.96,48.34,21.64
2020,8,25,1110,337.59,48.14,22.51
2020,8,25,1210,275.53,44.58,22.85
2020,8,25,1310,437.87,38.4,22.29
2020,8,25,1410,339.39,30.55,22.38
2020,8,25,1510,160.43,21.77,22.23
2020,8,25,1610,36.48,12.61,21.76
2020,8,25,1710,8.21,3.49,20.84
2020,8,25,1810,0,0,19.61
2020,8,25,1910,0,0,18.54
2020,8,25,2010,0,0,17.05
2020,8,25,2110,0,0,15.71
2020,8,25,2210,0,0,14.43
2020,8,25,2310,0,0,13.5
2020,8,26,10,0,0,12.94
2020,8,26,110,0,0,12.84
2020,8,26,210,0,0,13.25
2020,8,26,310,0,0,13.52
2020,8,26,410,1.37,4.27,14.04
2020,8,26,510,9.58,13.42,15.29
2020,8,26,610,79.36,22.55,17.24
2020,8,26,710,329.83,31.25,18.38
2020,8,26,810,145.62,38.93,20.57
2020,8,26,910,135.21,44.82,22.75
2020,8,26,1010,717.67,48.01,23.32
2020,8,26,1110,713.83,47.79,22.91
2020,8,26,1210,171.06,44.23,24.47
2020,8,26,1310,121.38,38.07,22.35
2020,8,26,1410,31.12,30.22,21.84
2020,8,26,1510,56.86,21.45,21.48
2020,8,26,1610,7.3,12.29,19.02
2020,8,26,1710,6.84,3.17,17.66
2020,8,26,1810,0,0,17.02
2020,8,26,1910,0,0,16.24
2020,8,26,2010,0,0,16.21
2020,8,26,2110,0,0,16.47
2020,8,26,2210,0,0,16.4
2020,8,26,2310,0,0,16.29
2020,8,27,10,0,0,16.17
2020,8,27,110,0,0,15.69
2020,8,27,210,0,0,15.35
2020,8,27,310,0,0,15.3
2020,8,27,410,3.19,4.04,15.35
2020,8,27,510,50.57,13.19,15.31
2020,8,27,610,27.53,22.32,15.39
2020,8,27,710,67.03,31,16.12
2020,8,27,810,120.2,38.65,16.64
2020,8,27,910,119.7,44.51,17.33
2020,8,27,1010,87.38,47.67,18.15
2020,8,27,1110,176.16,47.44,18.04
2020,8,27,1210,62.24,43.87,17
2020,8,27,1310,207.63,37.73,16.96
2020,8,27,1410,49.68,29.9,17.59
2020,8,27,1510,67.71,21.13,18.3
2020,8,27,1610,36.94,11.97,18.05
2020,8,27,1710,5.93,2.85,17.73
2020,8,27,1810,0,0,17.23
2020,8,27,1910,0,0,16.34
2020,8,27,2010,0,0,15.97
2020,8,27,2110,0,0,15.69
2020,8,27,2210,0,0,15.71
2020,8,27,2310,0,0,15.46
2020,8,28,10,0,0,15.16
2020,8,28,110,0,0,14.99
2020,8,28,210,0,0,14.92
2020,8,28,310,0,0,15.01
2020,8,28,410,1.82,3.81,15.08
2020,8,28,510,13.77,12.96,15.08
2020,8,28,610,61.65,22.09,15.39
2020,8,28,710,76.01,30.75,16.11
2020,8,28,810,213.56,38.38,17.05
2020,8,28,910,155.04,44.21,17.77
2020,8,28,1010,182.36,47.33,18.59
2020,8,28,1110,285.43,47.08,18.98
2020,8,28,1210,117.9,43.52,19.07
2020,8,28,1310,397.32,37.38,18.77
2020,8,28,1410,177.68,29.57,18.87
2020,8,28,1510,192.68,20.81,19.52
2020,8,28,1610,32.83,11.65,19.45
2020,8,28,1710,5.47,2.53,18.59
2020,8,28,1810,0,0,17.1
2020,8,28,1910,0,0,16.9
2020,8,28,2010,0,0,16.5
2020,8,28,2110,0,0,16.35
2020,8,28,2210,0,0,16.39
2020,8,28,2310,0,0,16.39
2020,8,29,10,0,0,16.14
2020,8,29,110,0,0,16.21
2020,8,29,210,0,0,16.32
2020,8,29,310,0,0,16.26
2020,8,29,410,0.91,3.58,16.17
2020,8,29,510,8.38,12.74,16.3
2020,8,29,610,24.54,21.86,16.44
2020,8,29,710,93.18,30.5,17.24
2020,8,29,810,59.85,38.1,17.93
2020,8,29,910,396.96,43.89,18.18
2020,8,29,1010,81.4,46.98,19.13
2020,8,29,1110,130.47,46.72,20.67
2020,8,29,1210,110.12,43.16,20.84
2020,8,29,1310,111.84,37.03,20.65
2020,8,29,1410,116.06,29.23,21.29
2020,8,29,1510,175.21,20.48,21.74
2020,8,29,1610,30.1,11.33,21.58
2020,8,29,1710,0,0,20.59
2020,8,29,1810,0,0,19.17
2020,8,29,1910,0,0,18.16
2020,8,29,2010,0,0,17.61
2020,8,29,2110,0,0,17.16
2020,8,29,2210,0,0,17.08
2020,8,29,2310,0,0,16.83
2020,8,30,10,0,0,16.6
2020,8,30,110,0,0,16.35
2020,8,30,210,0,0,16.47
2020,8,30,310,0,0,15.91
2020,8,30,410,0.91,3.35,16
2020,8,30,510,35.51,12.51,16.59
2020,8,30,610,40.7,21.62,16.93
2020,8,30,710,32.32,30.25,17.1
2020,8,30,810,311.76,37.82,17.88
2020,8,30,910,366.05,43.58,18.15
2020,8,30,1010,163.7,46.64,18.49
2020,8,30,1110,149.72,46.36,18.55
2020,8,30,1210,122.69,42.8,19.54
2020,8,30,1310,116.65,36.68,20.82
2020,8,30,1410,74.21,28.89,21.46
2020,8,30,1510,49.08,20.15,21.66
2020,8,30,1610,21.89,11,21.24
2020,8,30,1710,0,0,20.24
2020,8,30,1810,0,0,19.12
2020,8,30,1910,0,0,18.17
2020,8,30,2010,0,0,17.65
2020,8,30,2110,0,0,17.34
2020,8,30,2210,0,0,17.13
2020,8,30,2310,0,0,16.77
2020,8,31,10,0,0,16.34
2020,8,31,110,0,0,16.01
2020,8,31,210,0,0,16.97
2020,8,31,310,0,0,18.53
2020,8,31,410,3.65,3.11,18.42
2020,8,31,510,60.61,12.28,17.98
2020,8,31,610,210.87,21.38,17.99
2020,8,31,710,393.35,29.99,18.39
2020,8,31,810,96.96,37.54,18.89
2020,8,31,910,337.08,43.26,19.34
2020,8,31,1010,187.25,46.29,19.4
2020,8,31,1110,114.31,45.99,18.48
2020,8,31,1210,101.74,42.43,17.27
2020,8,31,1310,81.4,36.33,16.68
2020,8,31,1410,47.28,28.55,16.38
2020,8,31,1510,46.68,19.82,16.58
2020,8,31,1610,13.22,10.67,16.87
2020,8,31,1710,0,0,16.6
2020,8,31,1810,0,0,15.81
2020,8,31,1910,0,0,15.21
2020,8,31,2010,0,0,14.59
2020,8,31,2110,0,0,13.77
2020,8,31,2210,0,0,13.13
2020,8,31,2310,0,0,12.98
