y,m,d,h,G(i) [W/m2],H_sun,T_amb,,,,
2020,3,9,:1410,229.8,18.82,8.7,,,,
2020,3,9,:1510,91.74,10.77,8.43,,,,
2020,3,9,:1610,0,0,7.6,,,,
2020,3,9,:1710,0,0,6.01,,,,
2020,3,9,:1810,0,0,4.8,,,,
2020,3,9,:1910,0,0,5.21,,,,
2020,3,9,:2010,0,0,4.36,,,,
2020,3,9,:2110,0,0,3.62,,,,
2020,3,9,:2210,0,0,3.01,,,,
2020,3,9,:2310,0,0,2.7,,,,
2020,3,10,:0010,0,0,2.65,,,,
2020,3,10,:0110,0,0,2.67,,,,
2020,3,10,:0210,0,0,2.81,,,,
2020,3,10,:0310,0,0,2.95,,,,
2020,3,10,:0410,0,0,2.64,,,,
2020,3,10,:0510,0,0,2.89,,,,
2020,3,10,:0610,9.7,9.35,3.59,,,,
2020,3,10,:0710,139.66,17.62,5.21,,,,
2020,3,10,:0810,196.94,24.73,6.76,,,,
2020,3,10,:0910,237.81,30.1,7.8,,,,
2020,3,10,:1010,169.67,33.15,8.94,,,,
2020,3,10,:1110,513.96,33.43,9.62,,,,
2020,3,10,:1210,59.1,30.91,10.25,,,,
2020,3,10,:1310,110.25,25.95,10.39,,,,
2020,3,10,:1410,22.93,19.13,10.31,,,,
2020,3,10,:1510,251.23,11.05,10,,,,
2020,3,10,:1610,0,0,8.69,,,,
2020,3,10,:1710,0,0,7.46,,,,
2020,3,10,:1810,0,0,6.54,,,,
2020,3,10,:1910,0,0,6.41,,,,
2020,3,10,:2010,0,0,6.22,,,,
2020,3,10,:2110,0,0,6.32,,,,
2020,3,10,:2210,0,0,6.74,,,,
2020,3,10,:2310,0,0,7.18,,,,
2020,3,11,:0010,0,0,6.8,,,,
2020,3,11,:0110,0,0,5.97,,,,
2020,3,11,:0210,0,0,6.04,,,,
2020,3,11,:0310,0,0,6.38,,,,
2020,3,11,:0410,0,0,6.82,,,,
2020,3,11,:0510,0,0,7.4,,,,
2020,3,11,:0610,18.52,9.71,8.12,,,,
2020,3,11,:0710,107.21,17.99,8.86,,,,
2020,3,11,:0810,113.78,25.11,9.71,,,,
2020,3,11,:0910,202.31,30.5,9.82,,,,
2020,3,11,:1010,173.18,33.55,10.18,,,,
2020,3,11,:1110,737.51,33.82,11.23,,,,
2020,3,11,:1210,139.36,31.27,11.24,,,,
2020,3,11,:1310,235.91,26.28,11.04,,,,
2020,3,11,:1410,516.38,19.44,10.94,,,,
2020,3,11,:1510,37.05,11.34,10.58,,,,
2020,3,11,:1610,8.05,2.5,9.69,,,,
2020,3,11,:1710,0,0,8.75,,,,
2020,3,11,:1810,0,0,8.28,,,,
2020,3,11,:1910,0,0,7.65,,,,
2020,3,11,:2010,0,0,6.95,,,,
2020,3,11,:2110,0,0,6.18,,,,
2020,3,11,:2210,0,0,5.4,,,,
2020,3,11,:2310,0,0,4.75,,,,
2020,3,12,:0010,0,0,4.3,,,,
2020,3,12,:0110,0,0,4.02,,,,
2020,3,12,:0210,0,0,4.01,,,,
2020,3,12,:0310,0,0,4.18,,,,
2020,3,12,:0410,0,0,4.52,,,,
2020,3,12,:0510,0,0,5.23,,,,
2020,3,12,:0610,189.04,10.07,6.48,,,,
2020,3,12,:0710,152.56,18.36,8.54,,,,
2020,3,12,:0810,257.99,25.49,10.69,,,,
2020,3,12,:0910,184.2,30.89,11.42,,,,
2020,3,12,:1010,303.68,33.94,12.22,,,,
2020,3,12,:1110,437.43,34.2,13.92,,,,
2020,3,12,:1210,156.4,31.63,14.93,,,,
2020,3,12,:1310,322.09,26.61,14.37,,,,
2020,3,12,:1410,527.55,19.74,14.73,,,,
2020,3,12,:1510,17.64,11.62,13.56,,,,
2020,3,12,:1610,4.03,2.77,11.23,,,,
2020,3,12,:1710,0,0,9.24,,,,
2020,3,12,:1810,0,0,8.42,,,,
2020,3,12,:1910,0,0,7.48,,,,
2020,3,12,:2010,0,0,6.56,,,,
2020,3,12,:2110,0,0,5.86,,,,
2020,3,12,:2210,0,0,5.27,,,,
2020,3,12,:2310,0,0,4.75,,,,
2020,3,13,:0010,0,0,4.32,,,,
2020,3,13,:0110,0,0,3.9,,,,
2020,3,13,:0210,0,0,3.48,,,,
2020,3,13,:0310,0,0,3.14,,,,
2020,3,13,:0410,0,0,2.89,,,,
2020,3,13,:0510,0,0,2.7,,,,
2020,3,13,:0610,101.19,10.43,3.45,,,,
2020,3,13,:0710,552.2,18.73,4.77,,,,
2020,3,13,:0810,742.77,25.88,6.61,,,,
2020,3,13,:0910,693.86,31.29,7.55,,,,
2020,3,13,:1010,808.88,34.34,7.96,,,,
2020,3,13,:1110,390.56,34.59,8.71,,,,
2020,3,13,:1210,446.9,32,9.28,,,,
2020,3,13,:1310,600.98,26.95,9.31,,,,
2020,3,13,:1410,432.75,20.05,8.73,,,,
2020,3,13,:1510,282.11,11.91,8.38,,,,
2020,3,13,:1610,10.47,3.04,7.17,,,,
2020,3,13,:1710,0,0,6.28,,,,
2020,3,13,:1810,0,0,6.1,,,,
2020,3,13,:1910,0,0,5.99,,,,
2020,3,13,:2010,0,0,5.71,,,,
2020,3,13,:2110,0,0,5.29,,,,
2020,3,13,:2210,0,0,4.74,,,,
2020,3,13,:2310,0,0,4.27,,,,
2020,3,14,:0010,0,0,3.96,,,,
2020,3,14,:0110,0,0,3.41,,,,
2020,3,14,:0210,0,0,2.76,,,,
2020,3,14,:0310,0,0,1.64,,,,
2020,3,14,:0410,0,0,0.75,,,,
2020,3,14,:0510,0,0,0.04,,,,
2020,3,14,:0610,107.51,10.79,0.08,,,,
2020,3,14,:0710,231.1,19.1,1.34,,,,
2020,3,14,:0810,390.49,26.27,2.22,,,,
2020,3,14,:0910,104.08,31.69,3.37,,,,
2020,3,14,:1010,645.94,34.74,3.94,,,,
2020,3,14,:1110,360.43,34.98,4.17,,,,
2020,3,14,:1210,129.66,32.36,4.41,,,,
2020,3,14,:1310,232.87,27.28,4.25,,,,
2020,3,14,:1410,117.41,20.35,3.76,,,,
2020,3,14,:1510,281.22,12.19,3.14,,,,
2020,3,14,:1610,19.33,3.32,2.31,,,,
2020,3,14,:1710,0,0,1.23,,,,
2020,3,14,:1810,0,0,0.3,,,,
2020,3,14,:1910,0,0,-0.88,,,,
2020,3,14,:2010,0,0,-1.65,,,,
2020,3,14,:2110,0,0,-2.32,,,,
2020,3,14,:2210,0,0,-3.17,,,,
2020,3,14,:2310,0,0,-4.02,,,,
2020,3,15,:0010,0,0,-3.77,,,,
2020,3,15,:0110,0,0,-2.24,,,,
2020,3,15,:0210,0,0,-2.42,,,,
2020,3,15,:0310,0,0,-2.75,,,,
2020,3,15,:0410,0,0,-3.22,,,,
2020,3,15,:0510,7.06,2.2,-3.83,,,,
2020,3,15,:0610,307.78,11.15,-3.57,,,,
2020,3,15,:0710,586.44,19.47,-0.99,,,,
2020,3,15,:0810,789.05,26.65,0.55,,,,
2020,3,15,:0910,960.33,32.09,1.68,,,,
2020,3,15,:1010,1092.77,35.14,2.74,,,,
2020,3,15,:1110,1043.54,35.37,3.68,,,,
2020,3,15,:1210,1028.64,32.72,4.42,,,,
2020,3,15,:1310,860.37,27.61,4.9,,,,
2020,3,15,:1410,612.26,20.66,5.02,,,,
2020,3,15,:1510,348.47,12.48,4.51,,,,
2020,3,15,:1610,22.48,3.59,2.77,,,,
2020,3,15,:1710,0,0,0.9,,,,
2020,3,15,:1810,0,0,0.14,,,,
2020,3,15,:1910,0,0,0.08,,,,
2020,3,15,:2010,0,0,-0.3,,,,
2020,3,15,:2110,0,0,-0.46,,,,
2020,3,15,:2210,0,0,-0.52,,,,
2020,3,15,:2310,0,0,-0.74,,,,
2020,3,16,:0010,0,0,-0.86,,,,
2020,3,16,:0110,0,0,-0.96,,,,
2020,3,16,:0210,0,0,-0.99,,,,
2020,3,16,:0310,0,0,-1.05,,,,
2020,3,16,:0410,0,0,-1.15,,,,
2020,3,16,:0510,7.06,2.56,-1.34,,,,
2020,3,16,:0610,140.05,11.52,-0.69,,,,
2020,3,16,:0710,304.47,19.85,1.16,,,,
2020,3,16,:0810,669.52,27.04,3.69,,,,
2020,3,16,:0910,870.2,32.49,5.93,,,,
2020,3,16,:1010,1024.21,35.55,7.55,,,,
2020,3,16,:1110,970.06,35.76,8.66,,,,
2020,3,16,:1210,927.29,33.08,9.61,,,,
2020,3,16,:1310,734.01,27.94,10.45,,,,
2020,3,16,:1410,542.62,20.96,10.93,,,,
2020,3,16,:1510,316.1,12.76,10.53,,,,
2020,3,16,:1610,10.58,3.86,9.34,,,,
2020,3,16,:1710,0,0,7.52,,,,
2020,3,16,:1810,0,0,6.81,,,,
2020,3,16,:1910,0,0,6.55,,,,
2020,3,16,:2010,0,0,5.85,,,,
2020,3,16,:2110,0,0,5.3,,,,
2020,3,16,:2210,0,0,5.33,,,,
2020,3,16,:2310,0,0,4.63,,,,
2020,3,17,:0010,0,0,4.23,,,,
2020,3,17,:0110,0,0,3.77,,,,
2020,3,17,:0210,0,0,3.56,,,,
2020,3,17,:0310,0,0,2.78,,,,
2020,3,17,:0410,0,0,1.81,,,,
2020,3,17,:0510,8.82,2.91,0.58,,,,
2020,3,17,:0610,266.84,11.88,1.33,,,,
2020,3,17,:0710,532.27,20.22,4.32,,,,
2020,3,17,:0810,735.83,27.43,6.74,,,,
2020,3,17,:0910,926.8,32.89,8.61,,,,
2020,3,17,:1010,1009.45,35.95,10.13,,,,
2020,3,17,:1110,1030.94,36.14,11.12,,,,
2020,3,17,:1210,950.65,33.45,11.85,,,,
2020,3,17,:1310,773.25,28.27,12.13,,,,
2020,3,17,:1410,581.27,21.26,12.08,,,,
2020,3,17,:1510,307.59,13.04,11.79,,,,
2020,3,17,:1610,20.61,4.13,10.63,,,,
2020,3,17,:1710,0,0,9.27,,,,
2020,3,17,:1810,0,0,7.48,,,,
2020,3,17,:1910,0,0,8.4,,,,
2020,3,17,:2010,0,0,7.27,,,,
2020,3,17,:2110,0,0,4.37,,,,
2020,3,17,:2210,0,0,4.34,,,,
2020,3,17,:2310,0,0,5.11,,,,
2020,3,18,:0010,0,0,5.26,,,,
2020,3,18,:0110,0,0,5.54,,,,
2020,3,18,:0210,0,0,5.91,,,,
2020,3,18,:0310,0,0,6.16,,,,
2020,3,18,:0410,0,0,6.02,,,,
2020,3,18,:0510,11.47,3.27,5.74,,,,
2020,3,18,:0610,118.7,12.25,6.02,,,,
2020,3,18,:0710,493.71,20.6,7.6,,,,
2020,3,18,:0810,673.72,27.82,9.26,,,,
2020,3,18,:0910,882.22,33.29,11.79,,,,
2020,3,18,:1010,983.82,36.35,13.09,,,,
2020,3,18,:1110,981.26,36.53,13.26,,,,
2020,3,18,:1210,887.77,33.81,14.06,,,,
2020,3,18,:1310,710.9,28.6,14.73,,,,
2020,3,18,:1410,427.47,21.56,15.03,,,,
2020,3,18,:1510,193.52,13.32,14.74,,,,
2020,3,18,:1610,15.88,4.4,13.53,,,,
2020,3,18,:1710,0,0,11.8,,,,
2020,3,18,:1810,0,0,10.82,,,,
2020,3,18,:1910,0,0,10.89,,,,
2020,3,18,:2010,0,0,10.44,,,,
2020,3,18,:2110,0,0,9.89,,,,
2020,3,18,:2210,0,0,9.31,,,,
2020,3,18,:2310,0,0,8.6,,,,
2020,3,19,:0010,0,0,7.94,,,,
2020,3,19,:0110,0,0,7.32,,,,
2020,3,19,:0210,0,0,6.79,,,,
2020,3,19,:0310,0,0,6.47,,,,
2020,3,19,:0410,0,0,6.06,,,,
2020,3,19,:0510,11.47,3.63,6.1,,,,
2020,3,19,:0610,85.12,12.61,6.94,,,,
2020,3,19,:0710,187.34,20.98,8.75,,,,
2020,3,19,:0810,152.05,28.21,10.57,,,,
2020,3,19,:0910,135.83,33.69,12.39,,,,
2020,3,19,:1010,131.42,36.75,13.71,,,,
2020,3,19,:1110,192.61,36.92,14.41,,,,
2020,3,19,:1210,116.43,34.17,14.2,,,,
2020,3,19,:1310,141.27,28.93,13.6,,,,
2020,3,19,:1410,202.48,21.86,12.95,,,,
2020,3,19,:1510,32.64,13.6,12.09,,,,
2020,3,19,:1610,7.94,4.67,11.16,,,,
2020,3,19,:1710,0,0,10.21,,,,
2020,3,19,:1810,0,0,9.5,,,,
2020,3,19,:1910,0,0,9.19,,,,
2020,3,19,:2010,0,0,8.69,,,,
2020,3,19,:2110,0,0,8.15,,,,
2020,3,19,:2210,0,0,7.52,,,,
2020,3,19,:2310,0,0,6.92,,,,
2020,3,20,:0010,0,0,6.19,,,,
2020,3,20,:0110,0,0,5.57,,,,
2020,3,20,:0210,0,0,4.87,,,,
2020,3,20,:0310,0,0,4.55,,,,
2020,3,20,:0410,0,0,3.98,,,,
2020,3,20,:0510,24.51,3.99,3.7,,,,
2020,3,20,:0610,280.02,12.98,4.35,,,,
2020,3,20,:0710,422.16,21.35,5.97,,,,
2020,3,20,:0810,471.86,28.6,7.12,,,,
2020,3,20,:0910,325.13,34.09,8.05,,,,
2020,3,20,:1010,227.05,37.15,8.78,,,,
2020,3,20,:1110,146.42,37.31,8.65,,,,
2020,3,20,:1210,111.14,34.53,8.74,,,,
2020,3,20,:1310,124.37,29.26,8.72,,,,
2020,3,20,:1410,81.15,22.16,8.77,,,,
2020,3,20,:1510,65.39,13.88,8.45,,,,
2020,3,20,:1610,12.35,4.93,8.21,,,,
2020,3,20,:1710,0,0,7.62,,,,
2020,3,20,:1810,0,0,6.96,,,,
2020,3,20,:1910,0,0,5.44,,,,
2020,3,20,:2010,0,0,5.16,,,,
2020,3,20,:2110,0,0,5.09,,,,
2020,3,20,:2210,0,0,4.93,,,,
2020,3,20,:2310,0,0,4.68,,,,
2020,3,21,:0010,0,0,4.33,,,,
2020,3,21,:0110,0,0,3.87,,,,
2020,3,21,:0210,0,0,3.4,,,,
2020,3,21,:0310,0,0,2.97,,,,
2020,3,21,:0410,0,0,2.59,,,,
2020,3,21,:0510,14.99,4.35,2.61,,,,
2020,3,21,:0610,130.65,13.34,2.7,,,,
2020,3,21,:0710,281.4,21.73,2.72,,,,
2020,3,21,:0810,302.26,28.99,3.21,,,,
2020,3,21,:0910,489.95,34.49,3.63,,,,
2020,3,21,:1010,543.5,37.55,4.52,,,,
2020,3,21,:1110,377.58,37.69,5.23,,,,
2020,3,21,:1210,184.61,34.89,5.8,,,,
2020,3,21,:1310,85.56,29.58,5.66,,,,
2020,3,21,:1410,52.92,22.46,5.34,,,,
2020,3,21,:1510,59.1,14.16,4.59,,,,
2020,3,21,:1610,14.99,5.2,3.64,,,,
2020,3,21,:1710,0,0,2.62,,,,
2020,3,21,:1810,0,0,1.85,,,,
2020,3,21,:1910,0,0,1.16,,,,
2020,3,21,:2010,0,0,0.25,,,,
2020,3,21,:2110,0,0,-0.43,,,,
2020,3,21,:2210,0,0,-0.96,,,,
2020,3,21,:2310,0,0,-1.38,,,,
2020,3,22,:0010,0,0,-1.53,,,,
2020,3,22,:0110,0,0,-1.89,,,,
2020,3,22,:0210,0,0,-2,,,,
2020,3,22,:0310,0,0,-1.96,,,,
2020,3,22,:0410,0,0,-1.81,,,,
2020,3,22,:0510,15.88,4.71,-1.99,,,,
2020,3,22,:0610,330.02,13.71,-1.77,,,,
2020,3,22,:0710,596.36,22.11,-1.41,,,,
2020,3,22,:0810,798.07,29.38,-0.57,,,,
2020,3,22,:0910,405.24,34.89,0.13,,,,
2020,3,22,:1010,495.34,37.95,0.67,,,,
2020,3,22,:1110,170.23,38.08,1.29,,,,
2020,3,22,:1210,227.03,35.24,2.19,,,,
2020,3,22,:1310,415.73,29.91,2.66,,,,
2020,3,22,:1410,474.92,22.76,2.67,,,,
2020,3,22,:1510,313.98,14.43,2.36,,,,
2020,3,22,:1610,37.71,5.47,1.57,,,,
2020,3,22,:1710,0,0,0.42,,,,
2020,3,22,:1810,0,0,-0.47,,,,
2020,3,22,:1910,0,0,-0.24,,,,
2020,3,22,:2010,0,0,-0.52,,,,
2020,3,22,:2110,0,0,-0.76,,,,
2020,3,22,:2210,0,0,-1.02,,,,
2020,3,22,:2310,0,0,-1.26,,,,
2020,3,23,:0010,0,0,-1.7,,,,
2020,3,23,:0110,0,0,-2.16,,,,
2020,3,23,:0210,0,0,-2.65,,,,
2020,3,23,:0310,0,0,-2.99,,,,
2020,3,23,:0410,0,0,-3.25,,,,
2020,3,23,:0510,36.66,5.07,-3.38,,,,
2020,3,23,:0610,337.23,14.08,-2.49,,,,
2020,3,23,:0710,605.5,22.48,-1.35,,,,
2020,3,23,:0810,820.64,29.77,-0.03,,,,
2020,3,23,:0910,949.3,35.29,1.26,,,,
2020,3,23,:1010,1068.31,38.36,2.3,,,,
2020,3,23,:1110,1080.04,38.47,2.69,,,,
2020,3,23,:1210,1017.34,35.6,2.9,,,,
2020,3,23,:1310,851.73,30.23,2.81,,,,
2020,3,23,:1410,631.02,23.05,2.68,,,,
2020,3,23,:1510,361.86,14.71,2.36,,,,
2020,3,23,:1610,91.82,5.73,1.75,,,,
2020,3,23,:1710,0,0,0.35,,,,
2020,3,23,:1810,0,0,-0.58,,,,
2020,3,23,:1910,0,0,-1.21,,,,
2020,3,23,:2010,0,0,-2.05,,,,
2020,3,23,:2110,0,0,-2.85,,,,
2020,3,23,:2210,0,0,-3.54,,,,
2020,3,23,:2310,0,0,-4.03,,,,
2020,3,24,:0010,0,0,-4.36,,,,
2020,3,24,:0110,0,0,-4.59,,,,
2020,3,24,:0210,0,0,-4.86,,,,
2020,3,24,:0310,0,0,-5.06,,,,
2020,3,24,:0410,0,0,-5.18,,,,
2020,3,24,:0510,38.86,5.43,-5.09,,,,
2020,3,24,:0610,332.31,14.44,-2.36,,,,
2020,3,24,:0710,602.21,22.86,0.12,,,,
2020,3,24,:0810,819.74,30.16,1.74,,,,
2020,3,24,:0910,986.06,35.69,2.53,,,,
2020,3,24,:1010,1081.87,38.76,3.18,,,,
2020,3,24,:1110,1068.3,38.85,3.71,,,,
2020,3,24,:1210,999.37,35.96,4.12,,,,
2020,3,24,:1310,849.08,30.56,4.32,,,,
2020,3,24,:1410,615.55,23.35,4.25,,,,
2020,3,24,:1510,365.19,14.98,3.89,,,,
2020,3,24,:1610,95.85,6,2.67,,,,
2020,3,24,:1710,0,0,0.98,,,,
2020,3,24,:1810,0,0,-0.28,,,,
2020,3,24,:1910,0,0,-1.04,,,,
2020,3,24,:2010,0,0,-2.36,,,,
2020,3,24,:2110,0,0,-3.24,,,,
2020,3,24,:2210,0,0,-3.68,,,,
2020,3,24,:2310,0,0,-3.94,,,,
2020,3,25,:0010,0,0,-4.23,,,,
2020,3,25,:0110,0,0,-4.3,,,,
2020,3,25,:0210,0,0,-4.34,,,,
2020,3,25,:0310,0,0,-4.42,,,,
2020,3,25,:0410,0,0,-4.61,,,,
2020,3,25,:0510,42.25,5.79,-4.42,,,,
2020,3,25,:0610,336.23,14.81,-1.72,,,,
2020,3,25,:0710,601.6,23.23,0.99,,,,
2020,3,25,:0810,811.55,30.55,2.75,,,,
2020,3,25,:0910,974.37,36.09,3.76,,,,
2020,3,25,:1010,1061.61,39.16,4.35,,,,
2020,3,25,:1110,1054.57,39.24,4.99,,,,
2020,3,25,:1210,987.74,36.31,5.5,,,,
2020,3,25,:1310,831.52,30.88,5.72,,,,
2020,3,25,:1410,606.98,23.64,5.66,,,,
2020,3,25,:1510,341.37,15.26,5.23,,,,
2020,3,25,:1610,97.3,6.26,4.07,,,,
2020,3,25,:1710,0,0,2.02,,,,
2020,3,25,:1810,0,0,0.71,,,,
2020,3,25,:1910,0,0,0.7,,,,
2020,3,25,:2010,0,0,-0.02,,,,
2020,3,25,:2110,0,0,-0.48,,,,
2020,3,25,:2210,0,0,-0.78,,,,
2020,3,25,:2310,0,0,-0.99,,,,
2020,3,26,:0010,0,0,-1.13,,,,
2020,3,26,:0110,0,0,-1.19,,,,
2020,3,26,:0210,0,0,-1.24,,,,
2020,3,26,:0310,0,0,-1.3,,,,
2020,3,26,:0410,0,0,-1.38,,,,
2020,3,26,:0510,22.05,6.15,-1.31,,,,
2020,3,26,:0610,174.87,15.17,-0.07,,,,
2020,3,26,:0710,170.74,23.61,2.18,,,,
2020,3,26,:0810,577.13,30.93,3.9,,,,
2020,3,26,:0910,463.96,36.49,5.47,,,,
2020,3,26,:1010,956.01,39.56,6.9,,,,
2020,3,26,:1110,1011.96,39.62,8.16,,,,
2020,3,26,:1210,945.52,36.67,9.19,,,,
2020,3,26,:1310,776.54,31.2,9.79,,,,
2020,3,26,:1410,550.22,23.93,9.91,,,,
2020,3,26,:1510,326.25,15.53,9.56,,,,
2020,3,26,:1610,83.08,6.53,8.59,,,,
2020,3,26,:1710,0,0,7.1,,,,
2020,3,26,:1810,0,0,6.03,,,,
2020,3,26,:1910,0,0,5.75,,,,
2020,3,26,:2010,0,0,4.88,,,,
2020,3,26,:2110,0,0,4.18,,,,
2020,3,26,:2210,0,0,3.67,,,,
2020,3,26,:2310,0,0,3.23,,,,
2020,3,27,:0010,0,0,2.84,,,,
2020,3,27,:0110,0,0,2.55,,,,
2020,3,27,:0210,0,0,2.22,,,,
2020,3,27,:0310,0,0,1.8,,,,
2020,3,27,:0410,0,0,1.37,,,,
2020,3,27,:0510,42.78,6.51,1.15,,,,
2020,3,27,:0610,309.21,15.54,2.21,,,,
2020,3,27,:0710,574.14,23.98,4.75,,,,
2020,3,27,:0810,789.93,31.32,6.92,,,,
2020,3,27,:0910,963.27,36.89,8.97,,,,
2020,3,27,:1010,1062.01,39.95,10.67,,,,
2020,3,27,:1110,1055.35,40,11.87,,,,
2020,3,27,:1210,994.23,37.02,12.61,,,,
2020,3,27,:1310,825.35,31.52,13.01,,,,
2020,3,27,:1410,602.8,24.22,13.02,,,,
2020,3,27,:1510,336.86,15.8,12.61,,,,
2020,3,27,:1610,97.77,6.79,11.28,,,,
2020,3,27,:1710,0,0,9.15,,,,
2020,3,27,:1810,0,0,7.71,,,,
2020,3,27,:1910,0,0,7.2,,,,
2020,3,27,:2010,0,0,6.23,,,,
2020,3,27,:2110,0,0,5.37,,,,
2020,3,27,:2210,0,0,4.56,,,,
2020,3,27,:2310,0,0,3.69,,,,
2020,3,28,:0010,0,0,2.73,,,,
2020,3,28,:0110,0,0,1.69,,,,
2020,3,28,:0210,0,0,0.71,,,,
2020,3,28,:0310,0,0,-0.15,,,,
2020,3,28,:0410,0,0,-0.85,,,,
2020,3,28,:0510,42.12,6.87,-1.05,,,,
2020,3,28,:0610,288.18,15.9,1.85,,,,
2020,3,28,:0710,540.24,24.36,6.11,,,,
2020,3,28,:0810,757.84,31.71,8.86,,,,
2020,3,28,:0910,924.95,37.28,11.29,,,,
2020,3,28,:1010,1022.17,40.35,13.28,,,,
2020,3,28,:1110,1030.45,40.38,14.61,,,,
2020,3,28,:1210,990.35,37.37,15.25,,,,
2020,3,28,:1310,804.42,31.84,15.45,,,,
2020,3,28,:1410,586.43,24.51,15.37,,,,
2020,3,28,:1510,318.55,16.07,15,,,,
2020,3,28,:1610,93.72,7.05,13.92,,,,
2020,3,28,:1710,0,0,11.77,,,,
2020,3,28,:1810,0,0,9.23,,,,
2020,3,28,:1910,0,0,8.06,,,,
2020,3,28,:2010,0,0,7.18,,,,
2020,3,28,:2110,0,0,6.63,,,,
2020,3,28,:2210,0,0,6.75,,,,
2020,3,28,:2310,0,0,6.75,,,,
2020,3,29,:0010,0,0,6.1,,,,
2020,3,29,:0110,0,0,4.85,,,,
2020,3,29,:0210,0,0,3.28,,,,
2020,3,29,:0310,0,0,2.67,,,,
2020,3,29,:0410,0,0,2.05,,,,
2020,3,29,:0510,14.11,7.23,2.25,,,,
2020,3,29,:0610,160.59,16.26,4.9,,,,
2020,3,29,:0710,230.26,24.73,7.5,,,,
2020,3,29,:0810,384.77,32.09,9.34,,,,
2020,3,29,:0910,724.77,37.68,10.89,,,,
2020,3,29,:1010,879.35,40.75,11.83,,,,
2020,3,29,:1110,738.57,40.76,12.07,,,,
2020,3,29,:1210,459.38,37.72,11.9,,,,
2020,3,29,:1310,198.49,32.15,11.33,,,,
2020,3,29,:1410,490.89,24.8,10.2,,,,
2020,3,29,:1510,209.99,16.34,8.57,,,,
2020,3,29,:1610,70.16,7.31,6.59,,,,
2020,3,29,:1710,0,0,4.62,,,,
2020,3,29,:1810,0,0,3.11,,,,
2020,3,29,:1910,0,0,1.74,,,,
2020,3,29,:2010,0,0,1.13,,,,
2020,3,29,:2110,0,0,0.71,,,,
2020,3,29,:2210,0,0,0.49,,,,
2020,3,29,:2310,0,0,0.2,,,,
2020,3,30,:0010,0,0,-0.07,,,,
2020,3,30,:0110,0,0,-0.45,,,,
2020,3,30,:0210,0,0,-1,,,,
2020,3,30,:0310,0,0,-1.69,,,,
2020,3,30,:0410,0,0,-2.24,,,,
2020,3,30,:0510,109.7,7.58,-2.5,,,,
2020,3,30,:0610,365,16.62,-1.81,,,,
2020,3,30,:0710,626.38,25.1,-0.51,,,,
2020,3,30,:0810,835.35,32.48,0.76,,,,
2020,3,30,:0910,931.83,38.08,1.84,,,,
2020,3,30,:1010,549.93,41.14,2.77,,,,
2020,3,30,:1110,671.86,41.14,3.07,,,,
2020,3,30,:1210,685.64,38.07,3.53,,,,
2020,3,30,:1310,103.2,32.47,3.77,,,,
2020,3,30,:1410,248.28,25.09,3.98,,,,
2020,3,30,:1510,219.95,16.61,3.9,,,,
2020,3,30,:1610,80.54,7.57,3.41,,,,
2020,3,30,:1710,0,0,1.65,,,,
2020,3,30,:1810,0,0,0.75,,,,
2020,3,30,:1910,0,0,-0.01,,,,
2020,3,30,:2010,0,0,-0.49,,,,
2020,3,30,:2110,0,0,-1.22,,,,
2020,3,30,:2210,0,0,-2.05,,,,
2020,3,30,:2310,0,0,-2.52,,,,
2020,3,31,:0010,0,0,-2.98,,,,
2020,3,31,:0110,0,0,-2.94,,,,
2020,3,31,:0210,0,0,-2.89,,,,
2020,3,31,:0310,0,0,-2.95,,,,
2020,3,31,:0410,0,0,-3.2,,,,
2020,3,31,:0510,104.92,7.94,-3.21,,,,
2020,3,31,:0610,48.51,16.98,-0.87,,,,
2020,3,31,:0710,321.51,25.47,0.35,,,,
2020,3,31,:0810,352.36,32.86,1.88,,,,
2020,3,31,:0910,607.34,38.47,2.94,,,,
2020,3,31,:1010,675.16,41.54,3.09,,,,
2020,3,31,:1110,420.65,41.52,4.19,,,,
2020,3,31,:1210,201.94,38.41,4.48,,,,
2020,3,31,:1310,327.03,32.78,4.67,,,,
2020,3,31,:1410,95.26,25.37,4.78,,,,
2020,3,31,:1510,192.48,16.87,4.46,,,,
2020,3,31,:1610,109.58,7.83,3.74,,,,
2020,3,31,:1710,0,0,2.52,,,,
2020,3,31,:1810,0,0,0.89,,,,
2020,3,31,:1910,0,0,0.33,,,,
2020,3,31,:2010,0,0,-0.69,,,,
2020,3,31,:2110,0,0,-1.41,,,,
2020,3,31,:2210,0,0,-1.95,,,,
2020,3,31,:2310,0,0,-2.34,,,,
2020,4,1,:0010,0,0,-2.54,,,,
2020,4,1,:0110,0,0,-2.59,,,,
2020,4,1,:0210,0,0,-2.64,,,,
2020,4,1,:0310,0,0,-2.74,,,,
2020,4,1,:0410,0,0,-2.78,,,,
2020,4,1,:0510,114.87,8.29,-2.35,,,,
2020,4,1,:0610,355.64,17.34,-0.94,,,,
2020,4,1,:0710,605.44,25.84,1.29,,,,
2020,4,1,:0810,818.82,33.24,3,,,,
2020,4,1,:0910,984.2,38.86,4.3,,,,
2020,4,1,:1010,1067.44,41.93,5.09,,,,
2020,4,1,:1110,1043.11,41.89,5.65,,,,
2020,4,1,:1210,973.14,38.76,6.08,,,,
2020,4,1,:1310,812.33,33.09,6.26,,,,
2020,4,1,:1410,602.84,25.65,6.13,,,,
2020,4,1,:1510,348.1,17.14,5.99,,,,
