y,m,d,h,G(i) [W/m2],H_sun,T_amb,,,,
2020,1,6,:0910,145.86,12.69,0.21,,,,
2020,1,6,:1010,55.57,14.96,0.5,,,,
2020,1,6,:1110,29.99,14.98,0.76,,,,
2020,1,6,:1210,32.64,12.74,1.05,,,,
2020,1,6,:1310,29.11,8.45,1.23,,,,
2020,1,6,:1410,4.03,2.45,1.18,,,,
2020,1,6,:1510,0,0,1.07,,,,
2020,1,6,:1610,0,0,0.95,,,,
2020,1,6,:1710,0,0,0.92,,,,
2020,1,6,:1810,0,0,0.72,,,,
2020,1,6,:1910,0,0,0.52,,,,
2020,1,6,:2010,0,0,0.51,,,,
2020,1,6,:2110,0,0,0.46,,,,
2020,1,6,:2210,0,0,0.21,,,,
2020,1,6,:2310,0,0,0.03,,,,
2020,1,7,:0010,0,0,0.07,,,,
2020,1,7,:0110,0,0,0.12,,,,
2020,1,7,:0210,0,0,-0.11,,,,
2020,1,7,:0310,0,0,-0.28,,,,
2020,1,7,:0410,0,0,-0.21,,,,
2020,1,7,:0510,0,0,-0.43,,,,
2020,1,7,:0610,0,0,-0.95,,,,
2020,1,7,:0710,4.41,2.4,-0.75,,,,
2020,1,7,:0810,152.59,8.45,-0.47,,,,
2020,1,7,:0910,226.94,12.79,-0.04,,,,
2020,1,7,:1010,513.97,15.08,0.44,,,,
2020,1,7,:1110,178.52,15.11,1.08,,,,
2020,1,7,:1210,51.16,12.89,1.28,,,,
2020,1,7,:1310,29.11,8.6,1.36,,,,
2020,1,7,:1410,1.76,2.61,0.78,,,,
2020,1,7,:1510,0,0,-0.32,,,,
2020,1,7,:1610,0,0,-1.34,,,,
2020,1,7,:1710,0,0,-2.09,,,,
2020,1,7,:1810,0,0,-2.03,,,,
2020,1,7,:1910,0,0,-2.18,,,,
2020,1,7,:2010,0,0,-2.19,,,,
2020,1,7,:2110,0,0,-2.29,,,,
2020,1,7,:2210,0,0,-1.99,,,,
2020,1,7,:2310,0,0,-1.44,,,,
2020,1,8,:0010,0,0,-1.16,,,,
2020,1,8,:0110,0,0,-0.39,,,,
2020,1,8,:0210,0,0,-0.01,,,,
2020,1,8,:0310,0,0,0.42,,,,
2020,1,8,:0410,0,0,0.83,,,,
2020,1,8,:0510,0,0,1.25,,,,
2020,1,8,:0610,0,0,1.61,,,,
2020,1,8,:0710,3.53,2.47,1.91,,,,
2020,1,8,:0810,397.2,8.53,2.4,,,,
2020,1,8,:0910,327.91,12.89,3.13,,,,
2020,1,8,:1010,573.36,15.2,3.88,,,,
2020,1,8,:1110,492.48,15.25,4.48,,,,
2020,1,8,:1210,440.42,13.04,4.75,,,,
2020,1,8,:1310,69.58,8.76,4.74,,,,
2020,1,8,:1410,4.41,2.77,4.51,,,,
2020,1,8,:1510,0,0,4.44,,,,
2020,1,8,:1610,0,0,4.34,,,,
2020,1,8,:1710,0,0,3.95,,,,
2020,1,8,:1810,0,0,4,,,,
2020,1,8,:1910,0,0,4.27,,,,
2020,1,8,:2010,0,0,4.42,,,,
2020,1,8,:2110,0,0,4.54,,,,
2020,1,8,:2210,0,0,4.71,,,,
2020,1,8,:2310,0,0,4.84,,,,
2020,1,9,:0010,0,0,4.98,,,,
2020,1,9,:0110,0,0,5.09,,,,
2020,1,9,:0210,0,0,5.16,,,,
2020,1,9,:0310,0,0,5.23,,,,
2020,1,9,:0410,0,0,5.29,,,,
2020,1,9,:0510,0,0,5.34,,,,
2020,1,9,:0610,0,0,5.36,,,,
2020,1,9,:0710,3.53,2.55,5.13,,,,
2020,1,9,:0810,31.75,8.62,5.26,,,,
2020,1,9,:0910,120.02,13,5.41,,,,
2020,1,9,:1010,47.63,15.33,5.57,,,,
2020,1,9,:1110,59.1,15.4,5.8,,,,
2020,1,9,:1210,131.27,13.19,5.96,,,,
2020,1,9,:1310,9.7,8.92,5.93,,,,
2020,1,9,:1410,4.41,2.93,5.86,,,,
2020,1,9,:1510,0,0,5.8,,,,
2020,1,9,:1610,0,0,5.78,,,,
2020,1,9,:1710,0,0,5.75,,,,
2020,1,9,:1810,0,0,5.68,,,,
2020,1,9,:1910,0,0,5.82,,,,
2020,1,9,:2010,0,0,5.83,,,,
2020,1,9,:2110,0,0,5.89,,,,
2020,1,9,:2210,0,0,5.91,,,,
2020,1,9,:2310,0,0,5.95,,,,
2020,1,10,:0010,0,0,6.06,,,,
2020,1,10,:0110,0,0,6.15,,,,
2020,1,10,:0210,0,0,6.17,,,,
2020,1,10,:0310,0,0,6.13,,,,
2020,1,10,:0410,0,0,6.06,,,,
2020,1,10,:0510,0,0,6.12,,,,
2020,1,10,:0610,0,0,6.12,,,,
2020,1,10,:0710,1.76,2.63,6.14,,,,
2020,1,10,:0810,36.16,8.72,6.11,,,,
2020,1,10,:0910,17.64,13.12,6.1,,,,
2020,1,10,:1010,26.46,15.47,6.04,,,,
2020,1,10,:1110,52.04,15.55,6.18,,,,
2020,1,10,:1210,110.47,13.36,6.12,,,,
2020,1,10,:1310,77.9,9.09,6.15,,,,
2020,1,10,:1410,1.76,3.11,6.45,,,,
2020,1,10,:1510,0,0,6.76,,,,
2020,1,10,:1610,0,0,7.12,,,,
2020,1,10,:1710,0,0,7.48,,,,
2020,1,10,:1810,0,0,7.77,,,,
2020,1,10,:1910,0,0,8.14,,,,
2020,1,10,:2010,0,0,8.12,,,,
2020,1,10,:2110,0,0,7.89,,,,
2020,1,10,:2210,0,0,7.51,,,,
2020,1,10,:2310,0,0,7.13,,,,
2020,1,11,:0010,0,0,6.77,,,,
2020,1,11,:0110,0,0,6.53,,,,
2020,1,11,:0210,0,0,6.41,,,,
2020,1,11,:0310,0,0,6.38,,,,
2020,1,11,:0410,0,0,6.31,,,,
2020,1,11,:0510,0,0,6.37,,,,
2020,1,11,:0610,0,0,6.47,,,,
2020,1,11,:0710,5.29,2.72,5.49,,,,
2020,1,11,:0810,45.82,8.83,5.22,,,,
2020,1,11,:0910,79.92,13.24,4.95,,,,
2020,1,11,:1010,46.75,15.61,4.78,,,,
2020,1,11,:1110,34.4,15.71,4.63,,,,
2020,1,11,:1210,28.23,13.52,4.61,,,,
2020,1,11,:1310,21.17,9.27,4.63,,,,
2020,1,11,:1410,2.65,3.28,4.46,,,,
2020,1,11,:1510,0,0,4.19,,,,
2020,1,11,:1610,0,0,3.95,,,,
2020,1,11,:1710,0,0,3.81,,,,
2020,1,11,:1810,0,0,3.45,,,,
2020,1,11,:1910,0,0,3.65,,,,
2020,1,11,:2010,0,0,3.26,,,,
2020,1,11,:2110,0,0,2.78,,,,
2020,1,11,:2210,0,0,2.59,,,,
2020,1,11,:2310,0,0,2.73,,,,
2020,1,12,:0010,0,0,2.96,,,,
2020,1,12,:0110,0,0,3.26,,,,
2020,1,12,:0210,0,0,3.19,,,,
2020,1,12,:0310,0,0,3.05,,,,
2020,1,12,:0410,0,0,2.65,,,,
2020,1,12,:0510,0,0,2.53,,,,
2020,1,12,:0610,0,0,2.17,,,,
2020,1,12,:0710,9.7,2.81,2.28,,,,
2020,1,12,:0810,427.08,8.94,2.38,,,,
2020,1,12,:0910,639.3,13.38,2.96,,,,
2020,1,12,:1010,570.72,15.76,3.73,,,,
2020,1,12,:1110,481.62,15.87,4.45,,,,
2020,1,12,:1210,533.76,13.7,4.79,,,,
2020,1,12,:1310,414.89,9.45,4.81,,,,
2020,1,12,:1410,6.17,3.47,4.49,,,,
2020,1,12,:1510,0,0,3.81,,,,
2020,1,12,:1610,0,0,3.33,,,,
2020,1,12,:1710,0,0,3.2,,,,
2020,1,12,:1810,0,0,3.11,,,,
2020,1,12,:1910,0,0,2.98,,,,
2020,1,12,:2010,0,0,2.86,,,,
2020,1,12,:2110,0,0,2.67,,,,
2020,1,12,:2210,0,0,2.6,,,,
2020,1,12,:2310,0,0,2.71,,,,
2020,1,13,:0010,0,0,2.96,,,,
2020,1,13,:0110,0,0,3.52,,,,
2020,1,13,:0210,0,0,3.89,,,,
2020,1,13,:0310,0,0,4.16,,,,
2020,1,13,:0410,0,0,4.28,,,,
2020,1,13,:0510,0,0,4.61,,,,
2020,1,13,:0610,0,0,4.88,,,,
2020,1,13,:0710,21.23,2.91,5.19,,,,
2020,1,13,:0810,98.56,9.06,5.38,,,,
2020,1,13,:0910,79.73,13.52,5.72,,,,
2020,1,13,:1010,63.51,15.92,5.9,,,,
2020,1,13,:1110,44.1,16.04,6.19,,,,
2020,1,13,:1210,52.92,13.88,6.21,,,,
2020,1,13,:1310,26.46,9.64,6.14,,,,
2020,1,13,:1410,4.41,3.65,5.93,,,,
2020,1,13,:1510,0,0,5.63,,,,
2020,1,13,:1610,0,0,5.49,,,,
2020,1,13,:1710,0,0,5.41,,,,
2020,1,13,:1810,0,0,5.36,,,,
2020,1,13,:1910,0,0,5.03,,,,
2020,1,13,:2010,0,0,4.94,,,,
2020,1,13,:2110,0,0,4.7,,,,
2020,1,13,:2210,0,0,3.91,,,,
2020,1,13,:2310,0,0,3.32,,,,
2020,1,14,:0010,0,0,2.8,,,,
2020,1,14,:0110,0,0,2.34,,,,
2020,1,14,:0210,0,0,2.18,,,,
2020,1,14,:0310,0,0,2.11,,,,
2020,1,14,:0410,0,0,1.91,,,,
2020,1,14,:0510,0,0,1.65,,,,
2020,1,14,:0610,0,0,1,,,,
2020,1,14,:0710,99.26,3.02,0.53,,,,
2020,1,14,:0810,484.53,9.19,0.85,,,,
2020,1,14,:0910,615.29,13.66,1.94,,,,
2020,1,14,:1010,764.93,16.08,2.55,,,,
2020,1,14,:1110,544.63,16.22,3.41,,,,
2020,1,14,:1210,343.28,14.07,4.12,,,,
2020,1,14,:1310,208.59,9.83,4.24,,,,
2020,1,14,:1410,7.06,3.85,3.84,,,,
2020,1,14,:1510,0,0,3.32,,,,
2020,1,14,:1610,0,0,2.97,,,,
2020,1,14,:1710,0,0,2.27,,,,
2020,1,14,:1810,0,0,1.83,,,,
2020,1,14,:1910,0,0,2.04,,,,
2020,1,14,:2010,0,0,1.76,,,,
2020,1,14,:2110,0,0,1.68,,,,
2020,1,14,:2210,0,0,2.12,,,,
2020,1,14,:2310,0,0,2.34,,,,
2020,1,15,:0010,0,0,2.18,,,,
2020,1,15,:0110,0,0,2.47,,,,
2020,1,15,:0210,0,0,2.42,,,,
2020,1,15,:0310,0,0,2.12,,,,
2020,1,15,:0410,0,0,1.94,,,,
2020,1,15,:0510,0,0,1.93,,,,
2020,1,15,:0610,0,0,1.76,,,,
2020,1,15,:0710,44.38,3.14,2.32,,,,
2020,1,15,:0810,296.5,9.33,2.83,,,,
2020,1,15,:0910,673.97,13.82,4.09,,,,
2020,1,15,:1010,733.28,16.26,5.3,,,,
2020,1,15,:1110,688.59,16.41,6.36,,,,
2020,1,15,:1210,562.35,14.27,7.08,,,,
2020,1,15,:1310,224.4,10.03,7.26,,,,
2020,1,15,:1410,185.56,4.04,7.01,,,,
2020,1,15,:1510,0,0,6.26,,,,
2020,1,15,:1610,0,0,5.66,,,,
2020,1,15,:1710,0,0,5.1,,,,
2020,1,15,:1810,0,0,4.59,,,,
2020,1,15,:1910,0,0,4.48,,,,
2020,1,15,:2010,0,0,4.12,,,,
2020,1,15,:2110,0,0,3.73,,,,
2020,1,15,:2210,0,0,3.5,,,,
2020,1,15,:2310,0,0,3.61,,,,
2020,1,16,:0010,0,0,3.69,,,,
2020,1,16,:0110,0,0,3.52,,,,
2020,1,16,:0210,0,0,3.11,,,,
2020,1,16,:0310,0,0,2.67,,,,
2020,1,16,:0410,0,0,2.32,,,,
2020,1,16,:0510,0,0,1.83,,,,
2020,1,16,:0610,0,0,1.44,,,,
2020,1,16,:0710,179.08,3.26,1.97,,,,
2020,1,16,:0810,60.31,9.47,3.1,,,,
2020,1,16,:0910,74.55,13.98,4.4,,,,
2020,1,16,:1010,735.07,16.43,5.69,,,,
2020,1,16,:1110,731.94,16.6,6.82,,,,
2020,1,16,:1210,691.11,14.47,7.56,,,,
2020,1,16,:1310,543.29,10.23,7.6,,,,
2020,1,16,:1410,242.35,4.25,6.72,,,,
2020,1,16,:1510,0,0,5.18,,,,
2020,1,16,:1610,0,0,3.91,,,,
2020,1,16,:1710,0,0,3.03,,,,
2020,1,16,:1810,0,0,2.16,,,,
2020,1,16,:1910,0,0,1.32,,,,
2020,1,16,:2010,0,0,0.46,,,,
2020,1,16,:2110,0,0,-0.36,,,,
2020,1,16,:2210,0,0,-1.24,,,,
2020,1,16,:2310,0,0,-1.79,,,,
2020,1,17,:0010,0,0,-2.47,,,,
