m,d,h,Qsolar [W},Qcond [W],Q net [kW]
1,1,0,0,-17596.8,-17.5968
1,1,1,0,-17966.784,-17.966784
1,1,2,0,-18436.032,-18.436032
1,1,3,0,-18896.256,-18.896256
1,1,4,0,-19437.696,-19.437696
1,1,5,0,-20060.352,-20.060352
1,1,6,0,-20529.6,-20.5296
1,1,7,0,-20484.48,-20.48448
1,1,8,258.7632,-20033.28,-19.7745168
1,1,9,1213.728,-19112.832,-17.899104
1,1,10,1293.3648,-18463.104,-17.1697392
1,1,11,1114.2384,-18273.6,-17.1593616
1,1,12,636.8688,-18300.672,-17.6638032
1,1,13,179.1264,-18598.464,-18.4193376
1,1,14,0,-18860.16,-18.86016
1,1,15,0,-19049.664,-19.049664
1,1,16,0,-18968.448,-18.968448
1,1,17,0,-18842.112,-18.842112
1,1,18,0,-18778.944,-18.778944
1,1,19,0,-18562.368,-18.562368
1,1,20,0,-18607.488,-18.607488
1,1,21,0,-18833.088,-18.833088
1,1,22,0,-19437.696,-19.437696
1,1,23,0,-19717.44,-19.71744
1,2,0,0,-19852.8,-19.8528
1,2,1,0,-20006.208,-20.006208
1,2,2,0,-20096.448,-20.096448
1,2,3,0,-20457.408,-20.457408
1,2,4,0,-20673.984,-20.673984
1,2,5,0,-20854.464,-20.854464
1,2,6,0,-20764.224,-20.764224
1,2,7,0,-20493.504,-20.493504
1,2,8,2677.4208,-19906.944,-17.2295232
1,2,9,7237.248,-18995.52,-11.758272
1,2,10,6376.3584,-17921.664,-11.5453056
1,2,11,2837.8224,-17010.24,-14.1724176
1,2,12,2299.7664,-16450.752,-14.1509856
1,2,13,4608.5568,-16297.344,-11.6887872
1,2,14,0,-16920,-16.92
1,2,15,0,-17930.688,-17.930688
1,2,16,0,-18589.44,-18.58944
1,2,17,0,-19076.736,-19.076736
1,2,18,0,-19428.672,-19.428672
1,2,19,0,-19410.624,-19.410624
1,2,20,0,-19654.272,-19.654272
1,2,21,0,-19943.04,-19.94304
1,2,22,0,-20276.928,-20.276928
1,2,23,0,-20592.768,-20.592768
1,3,0,0,-20791.296,-20.791296
1,3,1,0,-20746.176,-20.746176
1,3,2,0,-20773.248,-20.773248
1,3,3,0,-20818.368,-20.818368
1,3,4,0,-20899.584,-20.899584
1,3,5,0,-20980.8,-20.9808
1,3,6,0,-21016.896,-21.016896
1,3,7,0,-20818.368,-20.818368
1,3,8,9435.9456,-20376.192,-10.9402464
1,3,9,2963.256,-19302.336,-16.33908
1,3,10,1174.0224,-18264.576,-17.0905536
1,3,11,915.2592,-17551.68,-16.6364208
1,3,12,1293.3648,-17064.384,-15.7710192
1,3,13,1373.6784,-16658.304,-15.2846256
1,3,14,0,-16983.168,-16.983168
1,3,15,0,-17596.8,-17.5968
1,3,16,0,-17840.448,-17.840448
1,3,17,0,-17786.304,-17.786304
1,3,18,0,-17551.68,-17.55168
1,3,19,0,-17578.752,-17.578752
1,3,20,0,-17371.2,-17.3712
1,3,21,0,-17253.888,-17.253888
1,3,22,0,-17091.456,-17.091456
1,3,23,0,-16838.784,-16.838784
1,4,0,0,-16387.584,-16.387584
1,4,1,0,-16035.648,-16.035648
1,4,2,0,-15620.544,-15.620544
1,4,3,0,-15295.68,-15.29568
1,4,4,0,-15178.368,-15.178368
1,4,5,0,-15548.352,-15.548352
1,4,6,0,-16297.344,-16.297344
1,4,7,0,-16947.072,-16.947072
1,4,8,4160.9664,-17028.288,-12.8673216
1,4,9,6956.1504,-16983.168,-10.0270176
1,4,10,11404.08,-16847.808,-5.443728
1,4,11,855.7008,-16441.728,-15.5860272
1,4,12,2727.504,-16252.224,-13.52472
1,4,13,1024.224,-16297.344,-15.27312
1,4,14,0,-16423.68,-16.42368
1,4,15,0,-16829.76,-16.82976
1,4,16,0,-17308.032,-17.308032
1,4,17,0,-17975.808,-17.975808
1,4,18,0,-18607.488,-18.607488
1,4,19,0,-18309.696,-18.309696
1,4,20,0,-18950.4,-18.9504
1,4,21,0,-19067.712,-19.067712
1,4,22,0,-19166.976,-19.166976
1,4,23,0,-18995.52,-18.99552
1,5,0,0,-18887.232,-18.887232
1,5,1,0,-19067.712,-19.067712
1,5,2,0,-19266.24,-19.26624
1,5,3,0,-19600.128,-19.600128
1,5,4,0,-19582.08,-19.58208
1,5,5,0,-19879.872,-19.879872
1,5,6,0,-20141.568,-20.141568
1,5,7,0,-20349.12,-20.34912
1,5,8,10763.1504,-20060.352,-9.2972016
1,5,9,15187.6176,-19473.792,-4.2861744
1,5,10,16531.5168,-18796.992,-2.2654752
1,5,11,9335.7792,-18264.576,-8.9287968
1,5,12,12142.4688,-17921.664,-5.7791952
1,5,13,9705.5376,-17975.808,-8.2702704
1,5,14,0,-18490.176,-18.490176
1,5,15,0,-19257.216,-19.257216
1,5,16,0,-20024.256,-20.024256
1,5,17,0,-20619.84,-20.61984
1,5,18,0,-21043.968,-21.043968
1,5,19,0,-21576.384,-21.576384
1,5,20,0,-21973.44,-21.97344
1,5,21,0,-22451.712,-22.451712
1,5,22,0,-22749.504,-22.749504
1,5,23,0,-22677.312,-22.677312
1,6,0,0,-22623.168,-22.623168
1,6,1,0,-22424.64,-22.42464
1,6,2,0,-21874.176,-21.874176
1,6,3,0,-21459.072,-21.459072
1,6,4,0,-21152.256,-21.152256
1,6,5,0,-20836.416,-20.836416
1,6,6,0,-20574.72,-20.57472
1,6,7,39.7056,-20285.952,-20.2462464
1,6,8,696.4272,-19943.04,-19.2466128
1,6,9,3290.6016,-19663.296,-16.3726944
1,6,10,1253.6592,-19401.6,-18.1479408
1,6,11,676.5744,-19166.976,-18.4904016
1,6,12,736.3584,-18905.28,-18.1689216
1,6,13,656.7216,-18742.848,-18.0861264
1,6,14,90.9168,-18787.968,-18.6970512
1,6,15,0,-18887.232,-18.887232
1,6,16,0,-18995.52,-18.99552
1,6,17,0,-19022.592,-19.022592
1,6,18,0,-19203.072,-19.203072
1,6,19,0,-19383.552,-19.383552
1,6,20,0,-19392.576,-19.392576
1,6,21,0,-19437.696,-19.437696
1,6,22,0,-19663.296,-19.663296
1,6,23,0,-19825.728,-19.825728
1,7,0,0,-19789.632,-19.789632
1,7,1,0,-19744.512,-19.744512
1,7,2,0,-19952.064,-19.952064
1,7,3,0,-20105.472,-20.105472
1,7,4,0,-20042.304,-20.042304
1,7,5,0,-20240.832,-20.240832
1,7,6,0,-20710.08,-20.71008
1,7,7,99.4896,-20529.6,-20.4301104
1,7,8,3442.4304,-20276.928,-16.8344976
1,7,9,5119.7664,-19888.896,-14.7691296
1,7,10,11595.1632,-19455.744,-7.8605808
1,7,11,4027.4112,-18878.208,-14.8507968
1,7,12,1154.1696,-18697.728,-17.5435584
1,7,13,656.7216,-18625.536,-17.9688144
1,7,14,39.7056,-19148.928,-19.1092224
1,7,15,0,-20141.568,-20.141568
1,7,16,0,-21062.016,-21.062016
1,7,17,0,-21738.816,-21.738816
1,7,18,0,-21684.672,-21.684672
1,7,19,0,-21820.032,-21.820032
1,7,20,0,-21829.056,-21.829056
1,7,21,0,-21919.296,-21.919296
1,7,22,0,-21648.576,-21.648576
1,7,23,0,-21152.256,-21.152256
1,8,0,0,-20899.584,-20.899584
1,8,1,0,-20204.736,-20.204736
1,8,2,0,-19861.824,-19.861824
1,8,3,0,-19473.792,-19.473792
1,8,4,0,-19103.808,-19.103808
1,8,5,0,-18724.8,-18.7248
1,8,6,0,-18399.936,-18.399936
1,8,7,79.6368,-18129.216,-18.0495792
1,8,8,8960.832,-17687.04,-8.726208
1,8,9,7397.6496,-17028.288,-9.6306384
1,8,10,12935.0016,-16351.488,-3.4164864
1,8,11,11110.3488,-15810.048,-4.6996992
1,8,12,9935.8752,-15566.4,-5.6305248
1,8,13,1569.7248,-15575.424,-14.0056992
1,8,14,99.4896,-15782.976,-15.6834864
1,8,15,0,-15846.144,-15.846144
1,8,16,0,-15936.384,-15.936384
1,8,17,0,-16288.32,-16.28832
1,8,18,0,-16243.2,-16.2432
1,8,19,0,-15999.552,-15.999552
1,8,20,0,-15864.192,-15.864192
1,8,21,0,-15755.904,-15.755904
1,8,22,0,-15602.496,-15.602496
1,8,23,0,-15485.184,-15.485184
1,9,0,0,-15358.848,-15.358848
1,9,1,0,-15259.584,-15.259584
1,9,2,0,-15196.416,-15.196416
1,9,3,0,-15133.248,-15.133248
1,9,4,0,-15079.104,-15.079104
1,9,5,0,-15033.984,-15.033984
1,9,6,0,-15015.936,-15.015936
1,9,7,79.6368,-15223.488,-15.1438512
1,9,8,716.28,-15106.176,-14.389896
1,9,9,2707.6512,-14970.816,-12.2631648
1,9,10,1074.5328,-14826.432,-13.7518992
1,9,11,1333.296,-14618.88,-13.285584
1,9,12,2961.4512,-14474.496,-11.5130448
1,9,13,218.832,-14501.568,-14.282736
1,9,14,99.4896,-14564.736,-14.4652464
1,9,15,0,-14618.88,-14.61888
1,9,16,0,-14636.928,-14.636928
1,9,17,0,-14664,-14.664
1,9,18,0,-14727.168,-14.727168
1,9,19,0,-14600.832,-14.600832
1,9,20,0,-14591.808,-14.591808
1,9,21,0,-14537.664,-14.537664
1,9,22,0,-14519.616,-14.519616
1,9,23,0,-14483.52,-14.48352
1,10,0,0,-14384.256,-14.384256
1,10,1,0,-14303.04,-14.30304
1,10,2,0,-14284.992,-14.284992
1,10,3,0,-14321.088,-14.321088
1,10,4,0,-14384.256,-14.384256
1,10,5,0,-14330.112,-14.330112
1,10,6,0,-14330.112,-14.330112
1,10,7,39.7056,-14312.064,-14.2723584
1,10,8,815.7696,-14339.136,-13.5233664
1,10,9,397.9584,-14348.16,-13.9502016
1,10,10,596.9376,-14402.304,-13.8053664
1,10,11,1174.0224,-14275.968,-13.1019456
1,10,12,2492.2032,-14330.112,-11.8379088
1,10,13,1757.424,-14303.04,-12.545616
1,10,14,39.7056,-14032.32,-13.9926144
1,10,15,0,-13752.576,-13.752576
1,10,16,0,-13427.712,-13.427712
1,10,17,0,-13102.848,-13.102848
1,10,18,0,-12841.152,-12.841152
1,10,19,0,-12507.264,-12.507264
1,10,20,0,-12525.312,-12.525312
1,10,21,0,-12732.864,-12.732864
1,10,22,0,-13075.776,-13.075776
1,10,23,0,-13418.688,-13.418688
1,11,0,0,-13743.552,-13.743552
1,11,1,0,-13960.128,-13.960128
1,11,2,0,-14068.416,-14.068416
1,11,3,0,-14095.488,-14.095488
1,11,4,0,-14158.656,-14.158656
1,11,5,0,-14104.512,-14.104512
1,11,6,0,-14014.272,-14.014272
1,11,7,119.3424,-14898.624,-14.7792816
1,11,8,1033.6992,-15142.272,-14.1085728
1,11,9,1802.9952,-15385.92,-13.5829248
1,11,10,1054.68,-15539.328,-14.484648
1,11,11,776.064,-15674.688,-14.898624
1,11,12,636.8688,-15692.736,-15.0558672
1,11,13,477.5952,-15674.688,-15.1970928
1,11,14,59.784,-15828.096,-15.768312
1,11,15,0,-16071.744,-16.071744
1,11,16,0,-16288.32,-16.28832
1,11,17,0,-16414.656,-16.414656
1,11,18,0,-16739.52,-16.73952
1,11,19,0,-16559.04,-16.55904
1,11,20,0,-16910.976,-16.910976
1,11,21,0,-17344.128,-17.344128
1,11,22,0,-17515.584,-17.515584
1,11,23,0,-17389.248,-17.389248
1,12,0,0,-17181.696,-17.181696
1,12,1,0,-16910.976,-16.910976
1,12,2,0,-16974.144,-16.974144
1,12,3,0,-17100.48,-17.10048
1,12,4,0,-17461.44,-17.46144
1,12,5,0,-17569.728,-17.569728
1,12,6,0,-17894.592,-17.894592
1,12,7,218.832,-17795.328,-17.576496
1,12,8,9634.9248,-17705.088,-8.0701632
1,12,9,14422.608,-17181.696,-2.759088
1,12,10,12875.4432,-16486.848,-3.6114048
1,12,11,10865.3472,-15837.12,-4.9717728
1,12,12,12041.6256,-15530.304,-3.4886784
1,12,13,9359.9184,-15512.256,-6.1523376
1,12,14,139.1952,-15801.024,-15.6618288
1,12,15,0,-16414.656,-16.414656
1,12,16,0,-16847.808,-16.847808
1,12,17,0,-16965.12,-16.96512
1,12,18,0,-17046.336,-17.046336
1,12,19,0,-17163.648,-17.163648
1,12,20,0,-17271.936,-17.271936
1,12,21,0,-17443.392,-17.443392
1,12,22,0,-17506.56,-17.50656
1,12,23,0,-17407.296,-17.407296
1,13,0,0,-17181.696,-17.181696
1,13,1,0,-16676.352,-16.676352
1,13,2,0,-16342.464,-16.342464
1,13,3,0,-16098.816,-16.098816
1,13,4,0,-15990.528,-15.990528
1,13,5,0,-15692.736,-15.692736
1,13,6,0,-15449.088,-15.449088
1,13,7,478.9488,-15169.344,-14.6903952
1,13,8,2223.5136,-14997.888,-12.7743744
1,13,9,1798.7088,-14691.072,-12.8923632
1,13,10,1432.7856,-14528.64,-13.0958544
1,13,11,994.896,-14266.944,-13.272048
1,13,12,1193.8752,-14248.896,-13.0550208
1,13,13,596.9376,-14312.064,-13.7151264
1,13,14,99.4896,-14501.568,-14.4020784
1,13,15,0,-14772.288,-14.772288
1,13,16,0,-14898.624,-14.898624
1,13,17,0,-14970.816,-14.970816
1,13,18,0,-15015.936,-15.015936
1,13,19,0,-15313.728,-15.313728
1,13,20,0,-15394.944,-15.394944
1,13,21,0,-15611.52,-15.61152
1,13,22,0,-16324.416,-16.324416
1,13,23,0,-16856.832,-16.856832
1,14,0,0,-17326.08,-17.32608
1,14,1,0,-17741.184,-17.741184
1,14,2,0,-17885.568,-17.885568
1,14,3,0,-17948.736,-17.948736
1,14,4,0,-18129.216,-18.129216
1,14,5,0,-18363.84,-18.36384
1,14,6,0,-18950.4,-18.9504
1,14,7,2239.3056,-19374.528,-17.1352224
1,14,8,10930.9968,-19085.76,-8.1547632
1,14,9,13880.9424,-18102.144,-4.2212016
1,14,10,17256.8208,-17551.68,-0.2948592
1,14,11,12286.8528,-16775.616,-4.4887632
1,14,12,7744.3968,-16134.912,-8.3905152
1,14,13,4705.7904,-16026.624,-11.3208336
1,14,14,159.2736,-16387.584,-16.2283104
1,14,15,0,-16856.832,-16.856832
1,14,16,0,-17172.672,-17.172672
1,14,17,0,-17804.352,-17.804352
1,14,18,0,-18201.408,-18.201408
1,14,19,0,-18011.904,-18.011904
1,14,20,0,-18264.576,-18.264576
1,14,21,0,-18336.768,-18.336768
1,14,22,0,-17939.712,-17.939712
1,14,23,0,-17741.184,-17.741184
1,15,0,0,-17885.568,-17.885568
1,15,1,0,-17623.872,-17.623872
1,15,2,0,-17668.992,-17.668992
1,15,3,0,-17939.712,-17.939712
1,15,4,0,-18102.144,-18.102144
1,15,5,0,-18111.168,-18.111168
1,15,6,0,-18264.576,-18.264576
1,15,7,1001.2128,-17759.232,-16.7580192
1,15,8,6689.04,-17299.008,-10.609968
1,15,9,15204.7632,-16161.984,-0.9572208
1,15,10,16542.7968,-15070.08,1.4727168
1,15,11,15534.5904,-14113.536,1.4210544
1,15,12,12686.616,-13463.808,-0.777192
1,15,13,5062.464,-13301.376,-8.238912
1,15,14,4186.2336,-13526.976,-9.3407424
1,15,15,0,-14203.776,-14.203776
1,15,16,0,-14745.216,-14.745216
1,15,17,0,-15250.56,-15.25056
1,15,18,0,-15710.784,-15.710784
1,15,19,0,-15810.048,-15.810048
1,15,20,0,-16134.912,-16.134912
1,15,21,0,-16486.848,-16.486848
1,15,22,0,-16694.4,-16.6944
1,15,23,0,-16595.136,-16.595136
1,16,0,0,-16522.944,-16.522944
1,16,1,0,-16676.352,-16.676352
1,16,2,0,-17046.336,-17.046336
1,16,3,0,-17443.392,-17.443392
1,16,4,0,-17759.232,-17.759232
1,16,5,0,-18201.408,-18.201408
1,16,6,0,-18553.344,-18.553344
1,16,7,4040.0448,-18075.072,-14.0350272
1,16,8,1360.5936,-17055.36,-15.6947664
1,16,9,1681.848,-15882.24,-14.200392
1,16,10,16583.1792,-14718.144,1.8650352
1,16,11,16512.5664,-13698.432,2.8141344
1,16,12,15591.4416,-13030.656,2.5607856
1,16,13,12256.6224,-12994.56,-0.7379376
1,16,14,5467.416,-13788.672,-8.321256
1,16,15,0,-15178.368,-15.178368
1,16,16,0,-16324.416,-16.324416
1,16,17,0,-17118.528,-17.118528
1,16,18,0,-17903.616,-17.903616
1,16,19,0,-18661.632,-18.661632
1,16,20,0,-19437.696,-19.437696
1,16,21,0,-20177.664,-20.177664
1,16,22,0,-20971.776,-20.971776
1,16,23,0,-21468.096,-21.468096
1,17,0,0,-22081.728,-22.081728
1,17,1,0,-22298.304,-22.298304
1,17,2,0,-22460.736,-22.460736
1,17,3,0,-22578.048,-22.578048
1,17,4,0,-22587.072,-22.587072
1,17,5,0,-22460.736,-22.460736
1,17,6,0,-22027.584,-22.027584
1,17,7,1019.712,-21188.352,-20.16864
1,17,8,3199.6848,-20782.272,-17.5825872
1,17,9,2657.568,-20322.048,-17.66448
1,17,10,1830.744,-19852.8,-18.022056
1,17,11,1313.2176,-19392.576,-18.0793584
1,17,12,935.3376,-18787.968,-17.8526304
1,17,13,1074.5328,-18643.584,-17.5690512
1,17,14,179.1264,-18896.256,-18.7171296
1,17,15,0,-19437.696,-19.437696
1,17,16,0,-19852.8,-19.8528
1,17,17,0,-19952.064,-19.952064
1,17,18,0,-19708.416,-19.708416
1,17,19,0,-19582.08,-19.58208
1,17,20,0,-19365.504,-19.365504
1,17,21,0,-19212.096,-19.212096
1,17,22,0,-19230.144,-19.230144
1,17,23,0,-19311.36,-19.31136
1,18,0,0,-19356.48,-19.35648
1,18,1,0,-19428.672,-19.428672
1,18,2,0,-19338.432,-19.338432
1,18,3,0,-19419.648,-19.419648
1,18,4,0,-19555.008,-19.555008
1,18,5,0,-19879.872,-19.879872
1,18,6,0,-20096.448,-20.096448
1,18,7,971.6592,-19825.728,-18.8540688
1,18,8,1698.0912,-18923.328,-17.2252368
1,18,9,1213.728,-17921.664,-16.707936
1,18,10,1392.8544,-17326.08,-15.9332256
1,18,11,1412.7072,-16829.76,-15.4170528
1,18,12,1333.296,-16577.088,-15.243792
1,18,13,318.3216,-16595.136,-16.2768144
1,18,14,816.4464,-16667.328,-15.8508816
1,18,15,0,-16847.808,-16.847808
1,18,16,0,-16983.168,-16.983168
1,18,17,0,-17046.336,-17.046336
1,18,18,0,-17082.432,-17.082432
1,18,19,0,-17019.264,-17.019264
1,18,20,0,-16956.096,-16.956096
1,18,21,0,-16910.976,-16.910976
1,18,22,0,-16874.88,-16.87488
1,18,23,0,-16910.976,-16.910976
1,19,0,0,-17037.312,-17.037312
1,19,1,0,-17244.864,-17.244864
1,19,2,0,-17488.512,-17.488512
1,19,3,0,-17750.208,-17.750208
1,19,4,0,-17939.712,-17.939712
1,19,5,0,-18120.192,-18.120192
1,19,6,0,-18309.696,-18.309696
1,19,7,1216.2096,-18869.184,-17.6529744
1,19,8,5376.4992,-18508.224,-13.1317248
1,19,9,5587.8864,-17831.424,-12.2435376
1,19,10,14245.0608,-16775.616,-2.5305552
1,19,11,8256.96,-16387.584,-8.130624
1,19,12,9770.2848,-16107.84,-6.3375552
1,19,13,8644.0896,-16143.936,-7.4998464
1,19,14,5676.096,-16342.464,-10.666368
1,19,15,0,-16901.952,-16.901952
1,19,16,0,-17398.272,-17.398272
1,19,17,0,-17948.736,-17.948736
1,19,18,0,-18228.48,-18.22848
1,19,19,0,-18174.336,-18.174336
1,19,20,0,-18445.056,-18.445056
1,19,21,0,-18652.608,-18.652608
1,19,22,0,-18851.136,-18.851136
1,19,23,0,-19121.856,-19.121856
1,20,0,0,-19166.976,-19.166976
1,20,1,0,-18959.424,-18.959424
1,20,2,0,-18932.352,-18.932352
1,20,3,0,-19022.592,-19.022592
1,20,4,0,-18851.136,-18.851136
1,20,5,0,-18842.112,-18.842112
1,20,6,0,-19067.712,-19.067712
1,20,7,1208.7648,-19257.216,-18.0484512
1,20,8,1745.016,-18842.112,-17.097096
1,20,9,1924.5936,-18029.952,-16.1053584
1,20,10,1114.2384,-17578.752,-16.4645136
1,20,11,1074.5328,-17470.464,-16.3959312
1,20,12,2146.584,-17542.656,-15.396072
1,20,13,776.064,-17741.184,-16.96512
1,20,14,218.832,-18029.952,-17.81112
1,20,15,0,-18228.48,-18.22848
1,20,16,0,-18436.032,-18.436032
1,20,17,0,-18643.584,-18.643584
1,20,18,0,-18688.704,-18.688704
1,20,19,0,-19157.952,-19.157952
1,20,20,0,-19464.768,-19.464768
1,20,21,0,-19582.08,-19.58208
1,20,22,0,-19618.176,-19.618176
1,20,23,0,-19573.056,-19.573056
1,21,0,0,-19545.984,-19.545984
1,21,1,0,-19681.344,-19.681344
1,21,2,0,-19636.224,-19.636224
1,21,3,0,-19645.248,-19.645248
1,21,4,0,-19780.608,-19.780608
1,21,5,0,-19807.68,-19.80768
1,21,6,0,-19807.68,-19.80768
1,21,7,1786.9776,-18661.632,-16.8746544
1,21,8,5285.5824,-18273.6,-12.9880176
1,21,9,15096.024,-17587.776,-2.491752
1,21,10,17233.3584,-16892.928,0.3404304
1,21,11,17577.3984,-15999.552,1.5778464
1,21,12,16943.9136,-15584.448,1.3594656
1,21,13,12035.76,-15458.112,-3.422352
1,21,14,5184.5136,-15710.784,-10.5262704
1,21,15,0,-16261.248,-16.261248
1,21,16,0,-16775.616,-16.775616
1,21,17,0,-17199.744,-17.199744
1,21,18,0,-17497.536,-17.497536
1,21,19,0,-17687.04,-17.68704
1,21,20,0,-17822.4,-17.8224
1,21,21,0,-17939.712,-17.939712
1,21,22,0,-17894.592,-17.894592
1,21,23,0,-17966.784,-17.966784
1,22,0,0,-18020.928,-18.020928
1,22,1,0,-18075.072,-18.075072
1,22,2,0,-18156.288,-18.156288
1,22,3,0,-18282.624,-18.282624
1,22,4,0,-18273.6,-18.2736
1,22,5,0,-18075.072,-18.075072
1,22,6,0,-17795.328,-17.795328
1,22,7,594.9072,-17488.512,-16.8936048
1,22,8,875.5536,-17163.648,-16.2880944
1,22,9,1939.9344,-16811.712,-14.8717776
1,22,10,1790.8128,-16414.656,-14.6238432
1,22,11,656.7216,-16008.576,-15.3518544
1,22,12,636.8688,-15755.904,-15.1190352
1,22,13,875.5536,-15548.352,-14.6727984
1,22,14,683.7936,-15674.688,-14.9908944
1,22,15,0,-15954.432,-15.954432
1,22,16,0,-16640.256,-16.640256
1,22,17,0,-16938.048,-16.938048
1,22,18,0,-17244.864,-17.244864
1,22,19,0,-17849.472,-17.849472
1,22,20,0,-18228.48,-18.22848
1,22,21,0,-18571.392,-18.571392
1,22,22,0,-18643.584,-18.643584
1,22,23,0,-18697.728,-18.697728
1,23,0,0,-18634.56,-18.63456
1,23,1,0,-18535.296,-18.535296
1,23,2,0,-18715.776,-18.715776
1,23,3,0,-18932.352,-18.932352
1,23,4,0,-19194.048,-19.194048
1,23,5,0,-19699.392,-19.699392
1,23,6,0,-20105.472,-20.105472
1,23,7,995.7984,-20899.584,-19.9037856
1,23,8,2177.7168,-20475.456,-18.2977392
1,23,9,1874.2848,-19600.128,-17.7258432
1,23,10,1054.68,-18706.752,-17.652072
1,23,11,1392.8544,-18399.936,-17.0070816
1,23,12,1952.1168,-18075.072,-16.1229552
1,23,13,1347.2832,-18201.408,-16.8541248
1,23,14,218.832,-18417.984,-18.199152
1,23,15,0,-18697.728,-18.697728
1,23,16,0,-18815.04,-18.81504
1,23,17,0,-18806.016,-18.806016
1,23,18,0,-18670.656,-18.670656
1,23,19,0,-18472.128,-18.472128
1,23,20,0,-18291.648,-18.291648
1,23,21,0,-18273.6,-18.2736
1,23,22,0,-18246.528,-18.246528
1,23,23,0,-18336.768,-18.336768
1,24,0,0,-18571.392,-18.571392
1,24,1,0,-18977.472,-18.977472
1,24,2,0,-19049.664,-19.049664
1,24,3,0,-19166.976,-19.166976
1,24,4,0,-19148.928,-19.148928
1,24,5,0,-19527.936,-19.527936
1,24,6,0,-19672.32,-19.67232
1,24,7,5770.6224,-20105.472,-14.3348496
1,24,8,11680.8912,-19897.92,-8.2170288
1,24,9,14244.8352,-19284.288,-5.0394528
1,24,10,17889.4032,-18445.056,-0.5556528
1,24,11,18049.8048,-17659.968,0.3898368
1,24,12,17136.1248,-17371.2,-0.2350752
1,24,13,13435.3824,-17308.032,-3.8726496
1,24,14,6138.1248,-17650.944,-11.5128192
1,24,15,0,-18472.128,-18.472128
1,24,16,0,-19365.504,-19.365504
1,24,17,0,-19753.536,-19.753536
1,24,18,0,-19771.584,-19.771584
1,24,19,0,-19266.24,-19.26624
1,24,20,0,-19212.096,-19.212096
1,24,21,0,-19139.904,-19.139904
1,24,22,0,-19130.88,-19.13088
1,24,23,0,-19157.952,-19.157952
1,25,0,0,-19257.216,-19.257216
1,25,1,0,-19636.224,-19.636224
1,25,2,0,-20024.256,-20.024256
1,25,3,0,-20087.424,-20.087424
1,25,4,0,-19924.992,-19.924992
1,25,5,0,-19744.512,-19.744512
1,25,6,0,-19536.96,-19.53696
1,25,7,1696.7376,-19293.312,-17.5965744
1,25,8,1508.5872,-19094.784,-17.5861968
1,25,9,1174.0224,-18851.136,-17.6771136
1,25,10,1492.344,-18661.632,-17.169288
1,25,11,1492.344,-18490.176,-16.997832
1,25,12,756.2112,-18417.984,-17.6617728
1,25,13,696.4272,-18427.008,-17.7305808
1,25,14,139.1952,-18535.296,-18.3961008
1,25,15,0,-18661.632,-18.661632
1,25,16,0,-18706.752,-18.706752
1,25,17,0,-18697.728,-18.697728
1,25,18,0,-18706.752,-18.706752
1,25,19,0,-19085.76,-19.08576
1,25,20,0,-19085.76,-19.08576
1,25,21,0,-19148.928,-19.148928
1,25,22,0,-19176,-19.176
1,25,23,0,-19320.384,-19.320384
1,26,0,0,-19347.456,-19.347456
1,26,1,0,-19356.48,-19.35648
1,26,2,0,-19428.672,-19.428672
1,26,3,0,-19437.696,-19.437696
1,26,4,0,-19437.696,-19.437696
1,26,5,0,-19573.056,-19.573056
1,26,6,0,-19536.96,-19.53696
1,26,7,848.9328,-19744.512,-18.8955792
1,26,8,1268.0976,-19527.936,-18.2598384
1,26,9,1253.6592,-19203.072,-17.9494128
1,26,10,935.3376,-18796.992,-17.8616544
1,26,11,994.896,-18408.96,-17.414064
1,26,12,875.5536,-18057.024,-17.1814704
1,26,13,1612.5888,-17741.184,-16.1285952
1,26,14,437.664,-17822.4,-17.384736
1,26,15,0,-18562.368,-18.562368
1,26,16,0,-19230.144,-19.230144
1,26,17,0,-19816.704,-19.816704
1,26,18,0,-19924.992,-19.924992
1,26,19,0,-20574.72,-20.57472
1,26,20,0,-20655.936,-20.655936
1,26,21,0,-20737.152,-20.737152
1,26,22,0,-20601.792,-20.601792
1,26,23,0,-20448.384,-20.448384
1,27,0,0,-20367.168,-20.367168
1,27,1,0,-20267.904,-20.267904
1,27,2,0,-20249.856,-20.249856
1,27,3,0,-20195.712,-20.195712
1,27,4,0,-20204.736,-20.204736
1,27,5,0,-20105.472,-20.105472
1,27,6,0,-20051.328,-20.051328
1,27,7,2325.2592,-20240.832,-17.9155728
1,27,8,4267.6752,-19870.848,-15.6031728
1,27,9,4426.4976,-19103.808,-14.6773104
1,27,10,11526.8064,-18129.216,-6.6024096
1,27,11,13797.696,-17479.488,-3.681792
1,27,12,8673.6432,-16874.88,-8.2012368
1,27,13,7921.4928,-16550.016,-8.6285232
1,27,14,2876.8512,-16802.688,-13.9258368
1,27,15,0,-17840.448,-17.840448
1,27,16,0,-18535.296,-18.535296
1,27,17,0,-18950.4,-18.9504
1,27,18,0,-19139.904,-19.139904
1,27,19,0,-19293.312,-19.293312
1,27,20,0,-19500.864,-19.500864
1,27,21,0,-19915.968,-19.915968
1,27,22,0,-20258.88,-20.25888
1,27,23,0,-20520.576,-20.520576
1,28,0,0,-20746.176,-20.746176
1,28,1,0,-20854.464,-20.854464
1,28,2,0,-20836.416,-20.836416
1,28,3,0,-20692.032,-20.692032
1,28,4,0,-20475.456,-20.475456
1,28,5,0,-20249.856,-20.249856
1,28,6,0,-20150.592,-20.150592
